round,client_id,Li,Lg,g_pos,mu_final,mu_prev,g_raw,g_pos_clipped,mu_star,mu_smoothed,mu_bounded,warmup_active
0,4,2.310062885284424,0.0,0.0,0.05,0.05,0.0,0.0,0.08,0.059,0.059,1
0,2,2.274967670440674,0.0,0.0,0.05,0.05,0.0,0.0,0.08,0.059,0.059,1
0,1,2.288007974624634,0.0,0.0,0.05,0.05,0.0,0.0,0.08,0.059,0.059,1
0,3,2.326993227005005,0.0,0.0,0.05,0.05,0.0,0.0,0.08,0.059,0.059,1
0,0,2.2902562618255615,0.0,0.0,0.05,0.05,0.0,0.0,0.08,0.059,0.059,1
1,3,1.9129124879837036,2.2902562618255615,0.0,0.05,0.05,-0.18003677171684648,0.0,0.08,0.059,0.059,1
1,1,2.3406364917755127,2.2902562618255615,0.021759181288636235,0.05,0.05,0.021759181288636235,0.021759181288636235,0.09740734503090899,0.06422220350927269,0.06422220350927269,1
1,2,2.308745861053467,2.2902562618255615,0.00804074374030364,0.05,0.05,0.00804074374030364,0.00804074374030364,0.08643259499224291,0.060929778497672865,0.060929778497672865,1
1,0,2.075230836868286,2.2902562618255615,0.0,0.05,0.05,-0.09859132140146382,0.0,0.08,0.059,0.059,1
1,4,1.9767131805419922,2.2902562618255615,0.0,0.05,0.05,-0.14722825980386103,0.0,0.08,0.059,0.059,1
2,1,2.2970938682556152,2.268753719329834,0.012414130001885444,0.0619793912004525,0.05,0.012414130001885444,0.012414130001885444,0.08993130400150835,0.0619793912004525,0.0619793912004525,0
2,0,1.9958972930908203,2.268753719329834,0.0,0.059,0.05,-0.1281369376031167,0.0,0.08,0.059,0.059,0
2,4,1.6829971075057983,2.268753719329834,0.0,0.059,0.05,-0.29865446031615955,0.0,0.08,0.059,0.059,0
2,2,2.482348680496216,2.268753719329834,0.08997450181352169,0.08059388043524521,0.05,0.08997450181352169,0.08997450181352169,0.15197960145081735,0.08059388043524521,0.08059388043524521,0
2,3,1.7290936708450317,2.268753719329834,0.0,0.059,0.05,-0.2716332754814552,0.0,0.08,0.059,0.059,0
3,2,2.418363571166992,2.241468076705933,0.07596005826902485,0.0986461302892376,0.08059388043524521,0.07596005826902485,0.07596005826902485,0.14076804661521988,0.0986461302892376,0.0986461302892376,0
